R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Napoli,21,1,44,563
2,Juventus,19,1,48,529
3,Sassuolo,15,1,42,500
4,Atalanta,20,1,54,481
5,Inter,21,1,54,454
6,AC Milan,19,1,53,452
7,Lazio,20,2,55,419
8,Roma,21,2,57,412
9,Bologna,19,1,50,397
10,Genoa,19,0,55,383
11,Verona,20,1,59,366
12,Fiorentina,19,1,51,362
13,Lecce,19,0,58,358
14,Udinese,19,1,54,355
15,SPAL 2013,18,0,54,354
16,Cagliari,20,1,57,347
17,Torino,20,0,61,330
18,Sampdoria,22,1,55,323
19,Parma Calcio 1913,16,1,63,316
20,Brescia,17,1,51,296
