R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Atalanta,72,5,7,6,0
2,Napoli,59,5,12,7,3
3,Inter,56,9,11,8,5
4,Juventus,51,5,12,8,1
5,Roma,46,4,10,7,1
6,Lazio,42,3,8,6,2
7,AC Milan,37,5,15,15,2
8,Sassuolo,36,2,10,13,3
9,Bologna,35,3,8,3,2
10,Genoa,35,4,3,4,1
11,Spezia,33,2,13,4,0
12,Torino,30,0,14,5,1
13,Udinese,30,2,4,4,2
14,Verona,30,1,4,3,5
15,Sampdoria,29,5,13,5,0
16,Cagliari,27,1,11,4,0
17,Crotone,27,3,5,9,1
18,Parma Calcio 1913,26,0,8,5,0
19,Fiorentina,22,6,10,6,3
20,Benevento,20,0,15,5,0
