Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Juventus,15.7,5.7,11.9,12.4,6.85
2. Atalanta,16.3,6.1,10.4,12.4,6.84
3. AC Milan,14.7,5.4,10.9,12.5,6.82
4. Inter,14.5,5.4,6.8,11.2,6.81
5. Napoli,17,5.9,10.2,14.4,6.81
6. Roma,14.3,5.3,10.8,11.2,6.71
7. Sassuolo,13.9,4.7,11.3,12.5,6.67
8. Sampdoria,11.3,3.7,7.7,12.8,6.63
9. Lazio,13.8,4.9,7.8,11.2,6.62
10. Torino,12.2,4,10.2,15.8,6.59
11. Verona,10.6,3.3,8,13.7,6.59
12. Cagliari,11.4,3.4,8.8,12.3,6.58
13. Bologna,13.1,4.7,9.1,12.5,6.56
14. Udinese,10.9,3.4,9.9,13.7,6.55
15. Genoa,9,3.3,7.7,12.3,6.54
16. Fiorentina,9.8,3.3,8.6,13.8,6.52
17. Spezia,10.2,3.6,8.5,13.9,6.50
18. Parma Calcio 1913,10.4,3.4,9.5,12.7,6.49
19. Crotone,9.5,3.2,10.1,12.9,6.43
20. Benevento,11,3.5,7.2,15.6,6.43
