Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Inter,11.2,15.8,8.8,12.7,1.6,6.82
2. AC Milan,10.6,17.8,9.5,12.3,2,6.79
3. Juventus,11.1,15,8.7,13.3,1.8,6.75
4. Napoli,10.7,14.1,7.8,12.4,1.7,6.75
5. Roma,9.8,16.2,9.8,13.5,1.6,6.72
6. Atalanta,10.7,15.9,12.4,13.8,1.8,6.72
7. Lazio,12.5,15.5,8.3,11.7,1.2,6.69
8. Torino,10.1,13.8,11.5,17.5,2.3,6.64
9. Verona,12.4,14.1,10.3,14.5,2.6,6.61
10. Sassuolo,14.1,12.8,8.4,12.4,1.2,6.61
11. Fiorentina,9.3,13.5,6.7,12,1.5,6.60
12. Bologna,13.4,13.1,9.8,11.9,1.3,6.57
13. Udinese,11.8,16.1,9.6,14.3,1.9,6.55
14. Sampdoria,14.4,14.8,11.9,13,2.2,6.53
15. Empoli,16.2,15.3,9.1,13.5,2.3,6.52
16. Spezia,17.1,15,9.8,13.6,2,6.50
17. Cagliari,14.9,14.7,10.8,14.2,1.9,6.48
18. Genoa,14.5,19.2,11.8,14.5,1.7,6.47
19. Venezia,16.3,15.8,10.5,14.1,1.5,6.43
20. Salernitana,15.9,13.9,9.3,13.3,1.1,6.38
