Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Bayern Munich,72,14.6,441,57.9,83.6,6.5,7.06
2. Werder Bremen,71,15.6,522,53.3,78.4,7.2,7.06
3. Bayer Leverkusen,65,15.8,673,53.0,78.2,8.7,6.99
4. Borussia Dortmund,54,14.5,500,49.6,74.3,9.2,6.98
5. Wolfsburg,64,14.3,611,49.5,78.8,5.6,6.95
6. Schalke 04,53,12.1,601,48.7,75.0,7.8,6.95
7. Hamburger SV,56,14.3,563,54.4,79.6,5.7,6.88
8. VfB Stuttgart,51,14.5,712,52.5,77.3,8.8,6.87
9. Hoffenheim,44,13.5,653,51.4,76.8,7.2,6.83
10. Mainz 05,36,10.1,594,48.1,74.9,7,6.80
11. Hertha Berlin,34,12.8,572,48.7,74.7,8.3,6.79
12. Eintracht Frankfurt,47,12.1,625,50.5,77.5,9.4,6.77
13. Borussia M.Gladbach,43,13.2,481,46.5,75.8,7.6,6.74
14. Nuernberg,32,12.5,542,49.6,76.7,5.8,6.74
15. FC Koln,33,9.5,704,48.0,74.7,6.5,6.73
16. Freiburg,35,11.7,520,45.3,73.3,7.3,6.68
17. Hannover 96,43,12.2,643,49.0,75.1,4.9,6.68
18. Bochum,33,10.8,694,43.9,72.5,6.2,6.65
