R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,St. Pauli,39,5,18,4,2
2,FC Koln,38,10,8,5,1
3,Werder Bremen,37,6,14,1,3
4,Borussia M.Gladbach,36,6,17,4,2
5,VfB Stuttgart,35,5,16,2,1
6,Hannover 96,29,3,10,2,1
7,Hamburger SV,28,7,12,3,2
8,Kaiserslautern,27,8,11,3,2
9,Wolfsburg,26,3,15,4,0
10,Eintracht Frankfurt,26,4,12,5,2
11,Freiburg,25,11,11,2,1
12,Schalke 04,24,1,15,3,1
13,Bayern Munich,23,3,11,1,2
14,Hoffenheim,23,4,16,6,1
15,Bayer Leverkusen,22,5,13,1,3
16,Nuernberg,21,3,15,6,0
17,Mainz 05,19,5,10,4,1
18,Borussia Dortmund,13,1,6,1,1
