R,Team,Own Third,Middle Third,Opposition Third
1,Borussia M.Gladbach,31%,46%,23%
2,FC Koln,30%,46%,25%
3,Freiburg,29%,44%,26%
4,Wolfsburg,28%,46%,26%
5,Eintracht Frankfurt,28%,47%,25%
6,Kaiserslautern,28%,46%,26%
7,Hannover 96,28%,45%,26%
8,St. Pauli,28%,44%,29%
9,VfB Stuttgart,27%,47%,26%
10,Nuernberg,27%,46%,28%
11,Hoffenheim,27%,46%,26%
12,Mainz 05,27%,46%,27%
13,Hamburger SV,25%,47%,29%
14,Bayern Munich,25%,44%,31%
15,Schalke 04,25%,48%,26%
16,Werder Bremen,25%,46%,28%
17,Bayer Leverkusen,24%,48%,27%
18,Borussia Dortmund,24%,47%,29%
