Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Borussia Dortmund,9.6,26,19.4,13.3,3.8,7.21
2. Bayern Munich,8.4,19.7,19.5,13.9,3,7.17
3. Schalke 04,13.1,23.2,27.6,16.3,2.6,7.13
4. Borussia M.Gladbach,11.5,21,21.5,12.6,2,7.05
5. Werder Bremen,13.8,25.6,24.9,16.1,3.4,7.02
6. Bayer Leverkusen,13.6,19.5,22.5,14.6,2.8,7.01
7. VfB Stuttgart,15.1,22.4,21.7,16.1,2.9,7.00
8. Mainz 05,12.1,25.9,21.8,17.1,4.1,6.90
9. Freiburg,13.3,21.8,23.8,17,2.7,6.85
10. Hamburger SV,14.5,22.6,20.7,17.4,3.4,6.84
11. Wolfsburg,12.1,24.4,18.6,19.9,2.2,6.82
12. Hoffenheim,12.4,26.4,20,19,3.4,6.82
13. Augsburg,14.1,22.7,22.4,16.6,2.9,6.82
14. Hannover 96,13.6,19.9,20.9,16.2,2.9,6.80
15. Nuernberg,11,22.2,21.9,17.2,3.3,6.79
16. Hertha Berlin,14.8,23.6,23.1,15.2,3.3,6.78
17. Kaiserslautern,14.3,21.9,18.1,17.7,3.2,6.64
18. FC Koln,15.5,21.6,21.4,15.5,3.1,6.64
