Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Borussia Dortmund,16.6,5.8,0.7,10.1,7.21
2. Bayern Munich,15.7,6.1,1.1,8.6,7.17
3. Schalke 04,13.7,4.4,1.3,8.1,7.13
4. Borussia M.Gladbach,13,5.7,0.6,6.7,7.05
5. Werder Bremen,14.9,6.5,1.3,7.1,7.02
6. Bayer Leverkusen,12.9,5.4,0.9,6.6,7.01
7. VfB Stuttgart,13.9,5.2,0.9,7.8,7.00
8. Mainz 05,12.6,5.3,0.7,6.8,6.90
9. Freiburg,12,5,0.7,6.4,6.85
10. Hamburger SV,13.2,5,0.4,7.8,6.84
11. Wolfsburg,12.4,4.7,1.1,6.6,6.82
12. Hoffenheim,13.4,6.1,0.8,6.6,6.82
13. Augsburg,11.4,5.4,0.8,5.2,6.82
14. Hannover 96,12.2,5.1,0.7,6.4,6.80
15. Nuernberg,12.6,5.4,0.4,6.7,6.79
16. Hertha Berlin,11.1,4.1,0.8,6.3,6.78
17. FC Koln,8.9,3.8,0.6,4.5,6.64
18. Kaiserslautern,12.6,5.8,0.4,6.4,6.64
