Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Borussia Dortmund,16.6,6.3,13.4,13.6,7.21
2. Bayern Munich,15.7,6.2,15.7,15.4,7.17
3. Schalke 04,13.7,5.6,13.9,14.7,7.13
4. Borussia M.Gladbach,13,5,11.2,14.4,7.05
5. Werder Bremen,14.9,4.6,16.4,17.4,7.02
6. Bayer Leverkusen,12.9,5.5,13.3,15.9,7.01
7. VfB Stuttgart,13.9,5.7,11.9,15.1,7.00
8. Mainz 05,12.6,4.4,13.8,14.1,6.90
9. Freiburg,12,4.3,12.7,16.1,6.85
10. Hamburger SV,13.2,4.8,16.6,17.1,6.84
11. Wolfsburg,12.4,4.8,10.8,14.5,6.82
12. Hoffenheim,13.4,4.3,16.6,16.7,6.82
13. Augsburg,11.4,3.9,11.9,17.2,6.82
14. Hannover 96,12.2,4.1,11.7,14.6,6.80
15. Nuernberg,12.6,4.1,11.9,16.6,6.79
16. Hertha Berlin,11.1,3.8,11.8,16.3,6.78
17. Kaiserslautern,12.6,4.1,11.7,14.7,6.64
18. FC Koln,8.9,3.3,10.6,15.1,6.64
