R,Team,Left Side,Attempts from the middle,Right Side
1,Borussia M.Gladbach,28%,52%,20%
2,Hamburger SV,24%,57%,19%
3,VfB Stuttgart,24%,58%,17%
4,Eintracht Frankfurt,22%,63%,15%
5,Hertha Berlin,22%,59%,18%
6,Augsburg,22%,57%,21%
7,Wolfsburg,21%,60%,19%
8,Schalke 04,20%,65%,15%
9,Werder Bremen,20%,60%,20%
10,Borussia Dortmund,20%,64%,16%
11,Mainz 05,20%,62%,19%
12,Bayer Leverkusen,19%,64%,16%
13,Hannover 96,19%,61%,20%
14,Freiburg,19%,60%,21%
15,Hoffenheim,17%,61%,21%
16,Eintracht Braunschweig,17%,59%,24%
17,Bayern Munich,16%,67%,17%
18,Nuernberg,16%,60%,24%
