R,Team,Fouls,Unprofessional,Dive,Other
1,Eintracht Frankfurt,58,3,0,18
2,Nuernberg,57,4,0,17
3,Wolfsburg,55,1,0,11
4,Bayer Leverkusen,53,3,0,16
5,Werder Bremen,52,3,1,22
6,Eintracht Braunschweig,52,2,1,11
7,Freiburg,51,1,3,13
8,Borussia M.Gladbach,48,1,1,6
9,VfB Stuttgart,47,4,2,14
10,Hertha Berlin,47,3,0,8
11,Hoffenheim,47,5,1,12
12,Schalke 04,46,0,0,15
13,Hannover 96,46,5,3,25
14,Augsburg,46,4,2,10
15,Mainz 05,44,0,1,12
16,Hamburger SV,42,2,2,12
17,Borussia Dortmund,37,3,0,6
18,Bayern Munich,36,6,0,5
