R,Team,Left Side,Attempts from the middle,Right Side
1,Schalke 04,23%,56%,21%
2,Mainz 05,22%,60%,18%
3,Freiburg,22%,59%,18%
4,Bayern Munich,21%,59%,20%
5,Borussia Dortmund,21%,59%,20%
6,Hamburger SV,20%,61%,19%
7,VfB Stuttgart,20%,62%,18%
8,Borussia M.Gladbach,20%,62%,18%
9,Augsburg,20%,60%,20%
10,Wolfsburg,19%,61%,20%
11,Hannover 96,19%,58%,22%
12,Werder Bremen,19%,65%,16%
13,FC Koln,19%,61%,20%
14,Paderborn,19%,62%,19%
15,Hertha Berlin,18%,63%,19%
16,Bayer Leverkusen,17%,65%,18%
17,Eintracht Frankfurt,17%,66%,17%
18,Hoffenheim,17%,63%,20%
