R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Bayern Munich,8%,58%,34%
2,Borussia Dortmund,8%,61%,31%
3,Eintracht Frankfurt,8%,60%,32%
4,Hertha Berlin,8%,54%,38%
5,Hoffenheim,8%,55%,38%
6,FC Koln,8%,49%,44%
7,Freiburg,7%,53%,40%
8,Borussia M.Gladbach,7%,61%,32%
9,RB Leipzig,7%,55%,38%
10,Bayer Leverkusen,6%,58%,36%
11,Hannover 96,6%,54%,40%
12,VfB Stuttgart,6%,55%,39%
13,Schalke 04,5%,58%,36%
14,Werder Bremen,5%,55%,41%
15,Augsburg,5%,57%,38%
16,Mainz 05,5%,45%,50%
17,Wolfsburg,4%,52%,44%
18,Hamburger SV,4%,55%,41%
