R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bayern Munich,26,1,73,590
2,Borussia Dortmund,17,1,60,506
3,Bayer Leverkusen,19,1,58,447
4,RB Leipzig,15,2,56,442
5,Borussia M.Gladbach,14,1,63,436
6,Hoffenheim,18,1,65,410
7,Wolfsburg,17,0,76,376
8,Schalke 04,17,1,57,367
9,Werder Bremen,19,0,69,363
10,VfB Stuttgart,18,0,73,361
11,FC Koln,20,0,69,358
12,Hertha Berlin,16,0,72,353
13,Eintracht Frankfurt,17,1,71,346
14,Hamburger SV,20,0,63,338
15,Hannover 96,17,0,63,337
16,Freiburg,14,0,73,336
17,Mainz 05,16,0,65,313
18,Augsburg,22,0,68,311
