R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Borussia Dortmund,10%,56%,34%
2,Freiburg,9%,47%,45%
3,Eintracht Frankfurt,9%,56%,35%
4,Fortuna Duesseldorf,9%,53%,38%
5,Hertha Berlin,8%,56%,37%
6,RB Leipzig,8%,60%,32%
7,Wolfsburg,7%,53%,40%
8,VfB Stuttgart,7%,56%,37%
9,Werder Bremen,7%,58%,34%
10,Borussia M.Gladbach,7%,61%,32%
11,Hannover 96,7%,58%,34%
12,Nuernberg,7%,57%,36%
13,Hoffenheim,7%,59%,34%
14,Augsburg,7%,60%,33%
15,Bayer Leverkusen,6%,58%,36%
16,Bayern Munich,6%,48%,47%
17,Mainz 05,6%,58%,36%
18,Schalke 04,5%,52%,43%
