R,Team,Left Side,Middle of the pitch,Right Side
1,VfB Stuttgart,41%,26%,34%
2,Borussia Dortmund,41%,21%,37%
3,RB Leipzig,40%,23%,37%
4,Bayern Munich,38%,26%,36%
5,Borussia M.Gladbach,38%,25%,37%
6,Eintracht Frankfurt,38%,28%,34%
7,Freiburg,38%,28%,33%
8,Werder Bremen,37%,26%,37%
9,Hoffenheim,37%,30%,33%
10,Wolfsburg,36%,24%,40%
11,Mainz 05,36%,28%,36%
12,Hannover 96,36%,26%,38%
13,Augsburg,36%,25%,39%
14,Schalke 04,34%,27%,39%
15,Hertha Berlin,34%,29%,37%
16,Nuernberg,34%,27%,38%
17,Fortuna Duesseldorf,33%,25%,42%
18,Bayer Leverkusen,32%,25%,43%
