R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bayern Munich,56,7,16,5,5
2,Bayer Leverkusen,47,5,10,2,4
3,Borussia Dortmund,46,7,12,7,4
4,RB Leipzig,37,10,11,7,0
5,Hoffenheim,36,3,9,0,2
6,FC Koln,34,2,8,0,0
7,Borussia M.Gladbach,30,0,7,3,0
8,Mainz 05,28,1,9,4,1
9,Union Berlin,26,4,6,4,0
10,Eintracht Frankfurt,24,1,12,1,2
11,VfB Stuttgart,23,1,10,1,1
12,Freiburg,22,3,17,4,3
13,Augsburg,22,0,9,3,0
14,Wolfsburg,21,2,8,2,1
15,Arminia Bielefeld,18,1,2,2,0
16,Hertha Berlin,18,1,10,1,2
17,Bochum,13,6,8,3,0
18,Greuther Fuerth,11,2,4,5,2
