R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Arminia Bielefeld,20,2,64,489
2,Union Berlin,17,1,66,459
3,Augsburg,20,2,59,450
4,Greuther Fuerth,21,2,62,435
5,Hertha Berlin,21,2,60,422
6,Bochum,18,2,62,398
7,Mainz 05,17,1,71,397
8,Eintracht Frankfurt,18,1,68,396
9,VfB Stuttgart,19,1,59,393
10,Freiburg,19,1,63,391
11,Bayer Leverkusen,16,1,53,372
12,Hoffenheim,16,2,59,369
13,Wolfsburg,18,1,58,364
14,RB Leipzig,14,2,57,359
15,Borussia M.Gladbach,16,2,57,345
16,Borussia Dortmund,16,1,59,335
17,FC Koln,15,1,67,315
18,Bayern Munich,13,1,57,302
