R,Team,Left Side,Attempts from the middle,Right Side
1,Aston Villa,21%,66%,12%
2,Blackburn,21%,67%,12%
3,Wigan,20%,60%,20%
4,Chelsea,19%,64%,17%
5,Birmingham,19%,63%,18%
6,Manchester City,18%,60%,22%
7,West Ham,18%,62%,20%
8,Manchester United,18%,68%,14%
9,Wolverhampton Wanderers,18%,69%,14%
10,Liverpool,17%,65%,18%
11,Everton,17%,70%,12%
12,Arsenal,16%,65%,19%
13,Portsmouth,16%,64%,20%
14,Tottenham,15%,66%,19%
15,Burnley,15%,64%,21%
16,Bolton,14%,73%,14%
17,Stoke,14%,72%,14%
18,Hull,14%,69%,17%
19,Sunderland,12%,71%,17%
20,Fulham,12%,69%,19%
