R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Arsenal,27,9,56,459
2,Manchester United,31,6,66,453
3,Chelsea,29,7,61,444
4,Liverpool,27,4,72,429
5,Fulham,19,3,66,383
6,Manchester City,21,5,71,370
7,Tottenham,24,3,79,345
8,Everton,27,3,72,333
9,West Ham,18,4,70,329
10,Wigan,18,3,77,322
11,Portsmouth,22,3,65,306
12,Burnley,22,2,73,297
13,Aston Villa,27,2,65,294
14,Birmingham,19,3,76,293
15,Wolverhampton Wanderers,25,2,72,283
16,Sunderland,23,4,72,269
17,Hull,20,1,69,256
18,Blackburn,20,2,68,254
19,Bolton,23,3,71,240
20,Stoke,17,2,69,215
