R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Manchester City,59,6,19,7,2
2,Manchester United,58,2,18,9,2
3,Arsenal,54,10,8,2,0
4,Tottenham,47,5,9,4,1
5,Chelsea,43,2,14,4,2
6,Newcastle United,37,4,8,2,5
7,Aston Villa,30,1,3,3,0
8,Norwich,30,4,16,2,0
9,Swansea,30,1,7,5,1
10,Sunderland,29,3,10,1,2
11,Everton,29,1,13,5,2
12,Fulham,28,3,9,3,5
13,Queens Park Rangers,28,0,11,2,2
14,Wolverhampton Wanderers,27,1,9,3,0
15,West Bromwich Albion,25,3,15,1,1
16,Liverpool,24,3,14,1,5
17,Bolton,24,0,13,5,4
18,Wigan,23,2,11,5,1
19,Blackburn,19,2,19,4,4
20,Stoke,14,1,16,4,1
