Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Manchester United,89,17,511,55.9,84.8,8.3,7.15
2. Manchester City,93,19.4,515,56.6,85.4,9,7.12
3. Tottenham,66,18.4,433,55.5,84.2,11,7.04
4. Arsenal,79,16.8,644,57.7,84.1,10.6,6.94
5. Chelsea,64,17.7,744,54.2,84.5,8.3,6.90
6. Fulham,48,14.2,540,49.3,81.4,9.5,6.83
7. Liverpool,45,17.6,535,53.6,80.7,12.9,6.82
8. Sunderland,45,12.1,594,45.6,73.6,10.8,6.81
9. Swansea,44,12.4,402,56.2,85.1,5.9,6.80
10. Newcastle United,51,12.9,672,47.9,76.0,10.9,6.78
11. Aston Villa,37,11.5,702,45.7,72.2,13.5,6.77
12. Everton,51,13.7,602,48.4,76.7,11.8,6.75
13. West Bromwich Albion,47,14.3,471,46.7,76.2,10.8,6.73
14. Queens Park Rangers,43,14.2,549,46.6,73.8,11,6.71
15. Bolton,46,13,505,47.5,71.1,12.8,6.68
16. Norwich,52,13.5,583,47.4,75.4,10.5,6.67
17. Wigan,42,13.7,673,49.9,79.9,7.9,6.66
18. Stoke,38,9.9,602,43.3,69.1,15.3,6.65
19. Blackburn,48,11.9,665,43.8,71.2,9.4,6.63
20. Wolverhampton Wanderers,42,12.4,644,48.2,75.6,10.6,6.58
