R,Team,Fouls,Unprofessional,Dive,Other
1,Aston Villa,61,3,1,13
2,West Ham,52,4,0,13
3,Stoke,51,11,1,17
4,Manchester United,51,3,4,13
5,Manchester City,51,3,1,18
6,Tottenham,50,3,2,15
7,Southampton,47,2,0,11
8,Sunderland,46,6,1,24
9,Norwich,46,2,0,17
10,Hull,42,4,2,10
11,Arsenal,41,3,0,14
12,West Bromwich Albion,41,3,0,23
13,Crystal Palace,40,3,2,15
14,Liverpool,39,3,0,13
15,Fulham,39,5,1,14
16,Chelsea,37,4,2,19
17,Newcastle United,36,8,0,16
18,Swansea,36,8,0,15
19,Everton,35,1,3,17
20,Cardiff,30,5,1,15
