R,Team,Left Side,Middle of the pitch,Right Side
1,Everton,40%,26%,34%
2,Sunderland,38%,26%,35%
3,West Ham,37%,26%,37%
4,Aston Villa,36%,30%,34%
5,Tottenham,36%,27%,37%
6,Chelsea,35%,30%,35%
7,Stoke,35%,26%,40%
8,West Bromwich Albion,35%,29%,36%
9,Southampton,34%,29%,38%
10,Manchester United,34%,25%,42%
11,Crystal Palace,34%,27%,39%
12,Manchester City,34%,28%,38%
13,Newcastle United,33%,30%,37%
14,Arsenal,32%,28%,40%
15,Liverpool,32%,29%,40%
16,Hull,32%,25%,43%
17,Norwich,31%,28%,41%
18,Fulham,31%,28%,41%
19,Cardiff,29%,27%,43%
20,Swansea,28%,33%,39%
