R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Manchester United,9%,56%,35%
2,Burnley,9%,46%,45%
3,Queens Park Rangers,8%,55%,37%
4,Arsenal,7%,52%,41%
5,Leicester,7%,51%,43%
6,Newcastle United,7%,55%,38%
7,Southampton,7%,53%,40%
8,Stoke,7%,49%,44%
9,Tottenham,7%,61%,32%
10,Manchester City,7%,48%,45%
11,Hull,7%,49%,44%
12,West Bromwich Albion,7%,46%,47%
13,West Ham,6%,51%,43%
14,Crystal Palace,6%,48%,46%
15,Liverpool,6%,46%,48%
16,Swansea,6%,50%,44%
17,Aston Villa,5%,56%,39%
18,Everton,5%,49%,46%
19,Sunderland,4%,49%,47%
20,Chelsea,4%,47%,50%
