Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Arsenal,15.1,5.6,13,11.4,7.08
2. Leicester,13.7,4.7,11.3,9.3,7.06
3. Tottenham,17.3,6.6,9.5,10.2,7.01
4. Manchester City,16.2,5.5,12,10.1,7.01
5. West Ham,14.7,4.9,10.4,11.8,6.92
6. Southampton,13.7,4.4,7.1,9.6,6.91
7. Liverpool,16.6,5.3,10.8,9.9,6.91
8. Everton,12.9,4.6,11.7,10.8,6.88
9. Chelsea,13.8,4.6,12.3,12.6,6.87
10. Manchester United,11.3,3.8,9.8,9.4,6.83
11. Watford,11.7,3.7,8.7,10.2,6.80
12. Sunderland,11.6,3.7,8,10.1,6.76
13. Crystal Palace,12.3,4,10.3,11.3,6.76
14. Swansea,11.6,3.6,7.9,11.9,6.75
15. Stoke,11,3.4,10.6,10.1,6.74
16. Newcastle United,10.4,4,9.7,9.5,6.73
17. West Bromwich Albion,10.2,2.8,7.6,10.3,6.72
18. Bournemouth,12.2,3.7,10.9,10.4,6.71
19. Aston Villa,10,2.9,11.1,9.6,6.69
20. Norwich,11,3.4,8.4,8.1,6.61
