Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Chelsea,8.5,17.2,13.6,10.4,1.7,7.05
2. Tottenham,9.2,17.4,8.3,11.4,1.9,7.04
3. Manchester City,7.9,16.9,13.1,10.4,2.3,7.01
4. Arsenal,11.4,17.7,14.2,10.5,2.5,6.99
5. Manchester United,9.5,18.2,15.3,13.1,2.6,6.99
6. Liverpool,8.2,18.9,10.8,10.4,2,6.98
7. Everton,11.8,18.8,12.1,12.1,2.2,6.91
8. Southampton,11.5,17.8,13.5,11.3,1.9,6.76
9. West Ham,13.3,15.1,16.2,10.7,1.9,6.76
10. Stoke,14.2,17.5,13.1,11.4,2.2,6.76
11. Crystal Palace,13.6,18.4,14.5,12.4,1.4,6.76
12. Middlesbrough,14.5,19.1,14.4,12.7,1.3,6.74
13. Bournemouth,14.5,15.9,12.1,9.7,1.4,6.74
14. Burnley,17.7,16.7,14.1,11.3,2.7,6.72
15. Leicester,14.6,17.8,14.1,11.9,1.7,6.71
16. West Bromwich Albion,13.6,15.9,14.1,11.8,1.5,6.69
17. Swansea,13.7,16.7,12,10.6,1.3,6.68
18. Watford,14.2,16.2,13.5,13.6,1.6,6.65
19. Sunderland,17.8,16.6,14.4,11.5,2.1,6.62
20. Hull,16.7,16.6,14.9,10.6,1.9,6.60
