R,Team,Left Side,Attempts from the middle,Right Side
1,Arsenal,20%,67%,13%
2,Leicester,20%,63%,17%
3,Liverpool,20%,67%,13%
4,Everton,20%,65%,16%
5,Burnley,20%,67%,14%
6,Chelsea,19%,68%,13%
7,West Ham,19%,67%,14%
8,Brighton,19%,69%,12%
9,Swansea,19%,63%,17%
10,Watford,18%,70%,13%
11,Tottenham,18%,65%,17%
12,Crystal Palace,18%,66%,16%
13,Stoke,18%,67%,15%
14,Manchester City,18%,66%,16%
15,West Bromwich Albion,18%,67%,15%
16,Southampton,16%,69%,15%
17,Manchester United,16%,69%,14%
18,Bournemouth,16%,72%,12%
19,Newcastle United,15%,70%,15%
20,Huddersfield,15%,73%,12%
