R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Fulham,59,4,11,5,2
2,Huddersfield,50,4,14,7,1
3,Burnley,47,2,13,2,4
4,Cardiff,46,4,15,4,0
5,Southampton,44,6,10,2,3
6,Bournemouth,44,7,10,5,3
7,Brighton,36,4,10,10,0
8,Watford,34,4,14,4,3
9,West Ham,34,2,14,4,1
10,Leicester,32,4,7,5,0
11,Arsenal,31,2,10,7,1
12,Crystal Palace,29,7,12,4,1
13,Manchester United,29,4,12,6,3
14,Newcastle United,26,2,13,6,1
15,Wolverhampton Wanderers,25,1,13,3,4
16,Everton,23,3,16,2,2
17,Chelsea,21,2,15,1,0
18,Tottenham,20,4,9,3,3
19,Liverpool,14,0,8,0,0
20,Manchester City,10,0,9,4,0
