R,Team,Own Third,Middle Third,Opposition Third
1,Bournemouth,31%,44%,26%
2,Newcastle United,30%,47%,24%
3,Crystal Palace,30%,45%,25%
4,Brighton,30%,45%,23%
5,Arsenal,29%,45%,27%
6,Fulham,29%,47%,24%
7,Burnley,29%,45%,27%
8,Leicester,28%,46%,27%
9,West Ham,28%,47%,25%
10,Watford,28%,45%,27%
11,Cardiff,28%,44%,28%
12,Southampton,27%,46%,28%
13,Everton,27%,44%,30%
14,Wolverhampton Wanderers,27%,48%,24%
15,Tottenham,27%,45%,28%
16,Manchester United,27%,46%,27%
17,Huddersfield,26%,46%,27%
18,Chelsea,24%,44%,32%
19,Liverpool,23%,47%,31%
20,Manchester City,19%,46%,35%
