R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Newcastle United,23,1,55,518
2,Sheffield United,20,1,69,480
3,West Ham,20,2,57,469
4,Watford,20,1,62,462
5,Bournemouth,21,2,65,447
6,Crystal Palace,22,1,60,430
7,Burnley,22,1,67,429
8,Aston Villa,23,1,60,428
9,Wolverhampton Wanderers,17,1,58,427
10,Norwich,24,1,60,409
11,Tottenham,20,1,60,396
12,Everton,17,1,63,385
13,Brighton,18,1,60,385
14,Southampton,20,1,66,373
15,Arsenal,21,1,54,370
16,Manchester United,18,1,60,355
17,Chelsea,14,1,60,342
18,Leicester,17,1,59,332
19,Liverpool,15,2,65,300
20,Manchester City,11,1,57,294
