Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Manchester City,15.8,5.4,1.1,9.2,7.01
2. Manchester United,13.8,5.3,0.7,7.8,6.85
3. Aston Villa,13.7,4.6,0.9,8.1,6.84
4. Chelsea,14.6,5,1.1,8.5,6.83
5. Liverpool,16,5.3,1.1,9.6,6.82
6. Tottenham,11.7,4.5,1.2,5.9,6.81
7. Leicester,12.8,5.1,0.8,6.9,6.80
8. Leeds,13.7,4.4,1,8.3,6.77
9. West Ham,12.3,3.8,1.7,6.8,6.77
10. Everton,10.5,3.8,1.1,5.6,6.73
11. Arsenal,12.1,4.4,0.9,6.8,6.69
12. Wolverhampton Wanderers,12.2,4.8,0.6,6.8,6.67
13. Brighton,12.8,4.4,0.8,7.6,6.65
14. Burnley,10.1,3.9,1.2,4.9,6.64
15. Fulham,11.6,4.4,0.6,6.6,6.63
16. Newcastle United,10.4,3.9,0.5,6.1,6.62
17. Southampton,11.2,4.6,0.5,6.1,6.62
18. Crystal Palace,9.2,3.3,0.6,5.3,6.61
19. West Bromwich Albion,8.9,3.7,0.7,4.5,6.51
20. Sheffield United,8.5,2.9,0.7,4.9,6.46
