R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,West Ham,12%,55%,33%
2,Burnley,12%,52%,37%
3,Tottenham,12%,53%,35%
4,Brentford,12%,60%,28%
5,Liverpool,10%,59%,32%
6,Manchester City,10%,60%,30%
7,Arsenal,9%,54%,36%
8,Aston Villa,9%,53%,38%
9,Southampton,9%,53%,38%
10,Crystal Palace,8%,64%,28%
11,Chelsea,7%,58%,35%
12,Newcastle United,7%,52%,41%
13,Leeds,7%,51%,41%
14,Leicester,6%,56%,38%
15,Manchester United,6%,59%,36%
16,Everton,6%,58%,36%
17,Wolverhampton Wanderers,6%,53%,41%
18,Watford,5%,56%,39%
19,Norwich,5%,49%,46%
20,Brighton,4%,55%,41%
