R,Team,Left Side,Attempts from the middle,Right Side
1,Valencia,24%,62%,15%
2,Sporting Gijon,24%,54%,22%
3,Real Madrid,23%,62%,15%
4,Atletico Madrid,23%,57%,20%
5,Malaga,22%,58%,20%
6,Espanyol,21%,59%,20%
7,Getafe,21%,64%,15%
8,Racing Santander,20%,57%,22%
9,Osasuna,20%,65%,16%
10,Mallorca,19%,60%,21%
11,Real Valladolid,19%,61%,19%
12,Xerez,19%,60%,21%
13,Real Zaragoza,18%,61%,20%
14,Barcelona,18%,66%,16%
15,Almeria,18%,67%,15%
16,Athletic Bilbao,17%,70%,13%
17,Sevilla,17%,63%,20%
18,Tenerife,17%,61%,23%
19,Deportivo La Coruna,15%,67%,17%
20,Villarreal,15%,71%,14%
