R,Team,Left Side,Middle of the pitch,Right Side
1,Atletico Madrid,39%,26%,35%
2,Malaga,39%,24%,37%
3,Valencia,37%,26%,37%
4,Racing Santander,37%,26%,37%
5,Osasuna,37%,26%,36%
6,Sevilla,37%,24%,39%
7,Xerez,37%,24%,39%
8,Mallorca,36%,25%,38%
9,Real Madrid,36%,31%,33%
10,Getafe,36%,27%,37%
11,Sporting Gijon,36%,25%,39%
12,Barcelona,35%,31%,34%
13,Villarreal,35%,33%,32%
14,Espanyol,34%,29%,36%
15,Tenerife,34%,27%,39%
16,Athletic Bilbao,33%,31%,37%
17,Real Zaragoza,33%,28%,40%
18,Almeria,33%,27%,39%
19,Real Valladolid,32%,29%,39%
20,Deportivo La Coruna,32%,25%,43%
