Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Barcelona,15.8,7.3,14.7,13.4,7.21
2. Real Madrid,19.1,8,11.7,13.7,7.20
3. Valencia,13.1,5.1,7.9,12.1,6.97
4. Villarreal,13.9,5.4,9.2,16.4,6.95
5. Atletico Madrid,15.1,5.7,7.6,14.9,6.89
6. Real Zaragoza,14,4.7,6.7,14.9,6.85
7. Sevilla,13.8,5.5,7.7,14.9,6.85
8. Osasuna,12.7,4.2,5.8,12.7,6.85
9. Sporting Gijon,11.6,4.1,6.8,13.1,6.85
10. Athletic Bilbao,13.4,5.1,6.4,12.9,6.84
11. Mallorca,13,5,6.5,11.6,6.83
12. Racing Santander,12.3,4.6,5.1,12.6,6.83
13. Malaga,11.8,4.2,6.5,15.4,6.83
14. Real Sociedad,11.3,3.7,4.4,15,6.81
15. Getafe,13.8,4.6,6.4,13.5,6.81
16. Deportivo La Coruna,11,3.6,4.9,12.3,6.78
17. Espanyol,12.3,4.6,5.8,15.2,6.75
18. Hercules,10.5,4.1,5.7,14.1,6.75
19. Levante,10.4,3.3,5.1,13.9,6.73
20. Almeria,12.2,4,5.9,13.3,6.72
