R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Racing Santander,45,0,12,4,2
2,Osasuna,45,1,9,5,1
3,Sporting Gijon,40,4,18,2,5
4,Rayo Vallecano,36,10,22,5,0
5,Real Sociedad,33,2,11,4,2
6,Espanyol,33,4,12,7,0
7,Real Zaragoza,31,4,19,5,2
8,Granada,30,5,16,3,2
9,Villarreal,29,7,15,1,1
10,Mallorca,28,0,14,2,2
11,Real Betis,28,6,14,6,2
12,Malaga,27,3,17,5,1
13,Sevilla,26,6,12,3,0
14,Getafe,26,6,14,5,0
15,Levante,26,6,14,3,1
16,Valencia,25,7,8,2,2
17,Athletic Bilbao,24,2,17,8,1
18,Real Madrid,20,4,7,1,0
19,Atletico Madrid,20,3,14,6,3
20,Barcelona,18,2,5,3,1
