R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Levante,26,3,66,474
2,Mallorca,25,4,67,402
3,Real Valladolid,24,3,67,392
4,Celta Vigo,24,4,63,384
5,Deportivo La Coruna,23,4,61,384
6,Granada,22,3,68,383
7,Real Betis,24,4,63,380
8,Espanyol,23,2,66,380
9,Atletico Madrid,18,1,74,378
10,Getafe,23,3,66,377
11,Malaga,21,3,59,369
12,Real Zaragoza,20,3,67,364
13,Real Sociedad,22,3,55,355
14,Osasuna,22,3,72,331
15,Sevilla,18,2,61,327
16,Real Madrid,21,3,56,323
17,Valencia,19,2,62,319
18,Athletic Bilbao,19,2,59,304
19,Barcelona,13,2,51,280
20,Rayo Vallecano,17,2,65,256
