R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Celta Vigo,9%,56%,35%
2,Rayo Vallecano,9%,54%,37%
3,Almeria,9%,49%,42%
4,Real Betis,8%,57%,35%
5,Malaga,8%,55%,37%
6,Valencia,7%,51%,41%
7,Osasuna,7%,50%,43%
8,Levante,7%,50%,44%
9,Getafe,7%,53%,40%
10,Athletic Bilbao,6%,49%,45%
11,Real Valladolid,6%,47%,47%
12,Elche,6%,53%,41%
13,Villarreal,6%,47%,47%
14,Real Sociedad,5%,48%,47%
15,Espanyol,5%,49%,46%
16,Granada,5%,52%,43%
17,Real Madrid,4%,46%,50%
18,Atletico Madrid,4%,45%,52%
19,Sevilla,4%,44%,52%
20,Barcelona,3%,54%,43%
