R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Villarreal,11%,48%,41%
2,Malaga,10%,40%,50%
3,Atletico Madrid,10%,59%,31%
4,Sevilla,8%,54%,38%
5,Athletic Bilbao,7%,54%,40%
6,Real Sociedad,7%,52%,41%
7,Levante,7%,45%,48%
8,Granada,7%,44%,49%
9,Real Madrid,6%,54%,41%
10,Valencia,6%,51%,43%
11,Celta Vigo,6%,50%,44%
12,Barcelona,6%,58%,36%
13,Real Betis,5%,53%,42%
14,Real Valladolid,5%,51%,44%
15,Rayo Vallecano,5%,45%,50%
16,Osasuna,5%,51%,44%
17,Elche,5%,46%,49%
18,Espanyol,5%,54%,41%
19,Almeria,5%,44%,51%
20,Getafe,4%,46%,49%
