R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Barcelona,82,5,19,8,2
2,Real Madrid,72,6,22,6,0
3,Atletico Madrid,56,1,11,2,0
4,Sevilla,50,1,13,3,2
5,Villarreal,40,2,7,6,1
6,Real Sociedad,37,1,11,7,3
7,Eibar,37,1,9,6,3
8,Valencia,35,0,14,4,3
9,Celta Vigo,33,1,11,7,1
10,Athletic Bilbao,32,0,13,8,0
11,Las Palmas,31,4,11,6,1
12,Espanyol,29,5,12,2,1
13,Malaga,27,2,16,3,1
14,Deportivo Alaves,25,3,9,4,0
15,Sporting Gijon,25,3,10,4,0
16,Real Betis,24,2,13,2,0
17,Leganes,24,2,7,3,0
18,Deportivo La Coruna,22,3,14,3,1
19,Osasuna,22,1,10,4,3
20,Granada,18,2,10,0,0
