R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Barcelona,11,3,54,590
2,Real Madrid,24,2,56,543
3,Real Betis,14,1,62,474
4,Celta Vigo,15,1,71,448
5,Sevilla,17,2,57,444
6,Real Sociedad,21,1,63,442
7,Las Palmas,15,1,59,424
8,Villarreal,14,2,61,400
9,Atletico Madrid,14,2,62,390
10,Valencia,16,1,57,381
11,Athletic Bilbao,22,1,76,344
12,Deportivo La Coruna,20,1,67,338
13,Espanyol,19,1,73,338
14,Eibar,28,0,93,324
15,Malaga,20,1,69,303
16,Girona,22,1,78,302
17,Levante,19,1,63,284
18,Leganes,18,1,71,278
19,Deportivo Alaves,15,1,66,262
20,Getafe,16,1,77,229
