R,Team,Own Third,Middle Third,Opposition Third
1,Deportivo Alaves,30%,46%,25%
2,Valencia,30%,45%,26%
3,Villarreal,30%,45%,25%
4,Deportivo La Coruna,29%,44%,27%
5,Real Betis,29%,47%,24%
6,Espanyol,29%,45%,26%
7,Celta Vigo,29%,46%,26%
8,Las Palmas,29%,46%,26%
9,Levante,29%,44%,28%
10,Atletico Madrid,28%,46%,27%
11,Malaga,28%,46%,27%
12,Leganes,28%,45%,28%
13,Real Sociedad,27%,45%,28%
14,Getafe,27%,45%,28%
15,Sevilla,27%,45%,28%
16,Girona,27%,46%,28%
17,Athletic Bilbao,26%,45%,29%
18,Barcelona,25%,45%,30%
19,Real Madrid,24%,43%,32%
20,Eibar,21%,44%,35%
