R,Team,Left Side,Attempts from the middle,Right Side
1,Girona,23%,62%,15%
2,Deportivo Alaves,22%,62%,16%
3,Real Betis,21%,66%,13%
4,Valencia,21%,64%,15%
5,Levante,20%,65%,16%
6,Espanyol,19%,63%,18%
7,Real Sociedad,19%,64%,17%
8,Atletico Madrid,19%,61%,19%
9,Villarreal,19%,64%,17%
10,Eibar,19%,59%,21%
11,Sevilla,18%,64%,18%
12,SD Huesca,18%,62%,19%
13,Leganes,18%,65%,18%
14,Real Madrid,17%,63%,20%
15,Athletic Bilbao,17%,67%,17%
16,Barcelona,17%,66%,17%
17,Celta Vigo,17%,67%,17%
18,Real Valladolid,16%,69%,15%
19,Rayo Vallecano,15%,72%,13%
20,Getafe,13%,68%,18%
