R,Team,Fouls,Unprofessional,Dive,Other
1,Villarreal,97,3,0,18
2,SD Huesca,90,8,0,18
3,Athletic Bilbao,87,5,0,32
4,Getafe,85,4,0,26
5,Levante,84,7,0,22
6,Sevilla,82,8,0,31
7,Rayo Vallecano,81,5,0,24
8,Deportivo Alaves,79,1,0,22
9,Atletico Madrid,78,4,0,23
10,Leganes,78,6,0,24
11,Real Valladolid,75,4,0,14
12,Valencia,74,3,0,15
13,Espanyol,73,5,0,13
14,Real Sociedad,68,2,0,14
15,Real Madrid,66,0,0,19
16,Girona,66,1,0,18
17,Celta Vigo,64,5,0,16
18,Real Betis,60,5,0,25
19,Eibar,57,4,0,21
20,Barcelona,54,4,0,20
