Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Barcelona,8.6,13.1,9.5,9.4,2.4,6.87
2. Real Madrid,9.4,14,10.5,10.7,2.3,6.86
3. Atletico Madrid,9.5,16.4,10.2,12.9,2.5,6.84
4. Sevilla,9.2,12.9,9.5,12.9,1.8,6.70
5. Villarreal,10.8,14.2,9.8,11.8,2.3,6.66
6. Real Sociedad,8.9,14.4,8.3,14.9,2.3,6.65
7. Real Betis,9.6,14.6,11.9,13.7,1.7,6.64
8. Valencia,14.4,12.2,10.3,12.1,2.4,6.60
9. Celta Vigo,10.9,17.4,10.7,16.6,1.7,6.60
10. SD Huesca,11.1,14.6,11.5,13.9,2.7,6.55
11. Athletic Bilbao,9.9,12.2,9.1,12.7,2,6.54
12. Osasuna,11.3,13.8,10.3,14.1,1.8,6.54
13. Eibar,9.2,13.5,11.4,13,1.8,6.53
14. Deportivo Alaves,10.5,13.1,11.2,13.5,1.9,6.50
15. Levante,12.2,13.4,11.4,13.4,1.8,6.50
16. Getafe,8.4,15.2,10.4,16.6,1.9,6.49
17. Elche,12.5,14.5,10.2,13.9,1.3,6.48
18. Granada,12.6,13.1,10.3,14,2.2,6.47
19. Cadiz,11.8,15.1,11.5,11.5,1.5,6.47
20. Real Valladolid,12.4,14.7,11.3,13.4,2,6.46
