Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Barcelona,15.3,5.6,1.4,8.4,6.87
2. Real Madrid,14.4,5.4,1.3,7.6,6.86
3. Atletico Madrid,12.1,4.1,0.8,7.2,6.84
4. Sevilla,12.1,4.2,1,6.9,6.70
5. Villarreal,10.7,3.1,0.8,6.7,6.66
6. Real Sociedad,11.3,3.5,1.3,6.5,6.65
7. Real Betis,11.7,5,0.7,5.9,6.64
8. Valencia,10.3,4.9,0.6,4.8,6.60
9. Celta Vigo,9.4,2.8,0.8,5.8,6.60
10. SD Huesca,10.7,3.8,0.9,6,6.55
11. Osasuna,9.8,3.8,0.8,5.3,6.54
12. Athletic Bilbao,10.6,3.8,0.8,6,6.54
13. Eibar,11.9,4.5,1,6.4,6.53
14. Levante,10.1,3.9,0.6,5.5,6.50
15. Deportivo Alaves,9.1,2.9,0.7,5.5,6.50
16. Getafe,9.5,3.7,0.6,5.2,6.49
17. Elche,7.1,2.3,0.6,4.1,6.48
18. Cadiz,8,3,0.6,4.4,6.47
19. Granada,9.4,4.1,0.7,4.7,6.47
20. Real Valladolid,9.7,3.6,0.5,5.6,6.46
