Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Barcelona,85,15.3,682,62.4,89.7,10.6,6.87
2. Real Madrid,67,14.4,572,57.7,87.7,11.8,6.86
3. Atletico Madrid,67,12.1,1000,51.8,83.1,14.4,6.84
4. Sevilla,53,12.1,752,58.7,86.2,16.6,6.70
5. Villarreal,60,10.7,655,54.3,84.4,13,6.66
6. Real Sociedad,59,11.3,811,53.7,80.8,17.9,6.65
7. Real Betis,50,11.7,878,52.9,82.0,16.4,6.64
8. Valencia,50,10.3,775,47.9,79.4,16.3,6.60
9. Celta Vigo,55,9.4,1045,52.0,79.9,16.5,6.60
10. SD Huesca,34,10.7,682,48.7,79.8,15.7,6.55
11. Athletic Bilbao,46,10.6,813,49.4,78.5,17.9,6.54
12. Osasuna,37,9.8,745,44.6,70.2,26.8,6.54
13. Eibar,29,11.9,673,49.2,72.6,24.4,6.53
14. Deportivo Alaves,36,9.1,878,44.6,72.9,22.6,6.50
15. Levante,46,10.1,701,51.5,80.1,12.2,6.50
16. Getafe,28,9.5,1177,44.4,66.5,22.8,6.49
17. Elche,34,7.1,953,48.1,81.5,13.2,6.48
18. Granada,47,9.4,966,43.4,70.0,18.3,6.47
19. Cadiz,36,8,773,38.5,68.8,18.5,6.47
20. Real Valladolid,34,9.7,934,46.2,74.8,17.1,6.46
