R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Nice,38,2,13,3,1
2,Grenoble,37,5,13,3,3
3,Boulogne,36,3,17,4,2
4,Nancy,35,4,9,3,2
5,Sochaux,30,6,10,5,1
6,Le Mans,30,6,16,4,3
7,Lens,28,1,9,4,2
8,Montpellier,26,3,8,2,1
9,Valenciennes,26,3,16,3,2
10,Bordeaux,23,5,8,4,0
11,Saint-Etienne,22,6,13,3,1
12,Auxerre,22,0,6,1,0
13,Paris Saint-Germain,22,7,12,3,2
14,Lille,21,3,14,2,0
15,Toulouse,20,3,10,3,0
16,Lorient,19,3,14,4,2
17,Rennes,19,5,14,2,1
18,Monaco,19,4,15,6,1
19,Marseille,17,0,11,5,3
20,Lyon,16,6,11,3,2
