R,Team,Own Third,Middle Third,Opposition Third
1,Saint-Etienne,30%,45%,25%
2,Valenciennes,30%,44%,26%
3,Brest,30%,44%,25%
4,Monaco,29%,44%,27%
5,Auxerre,29%,46%,25%
6,Arles-Avignon,29%,44%,26%
7,Sochaux,28%,44%,28%
8,Paris Saint-Germain,28%,44%,29%
9,Caen,28%,44%,28%
10,Nice,28%,46%,25%
11,Nancy,27%,45%,29%
12,Lyon,27%,46%,28%
13,Lens,27%,44%,29%
14,Lille,27%,46%,29%
15,Rennes,26%,45%,28%
16,Lorient,25%,47%,28%
17,Toulouse,25%,46%,30%
18,Bordeaux,25%,46%,30%
19,Marseille,25%,46%,29%
20,Montpellier,25%,46%,28%
