R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Thonon Evian Grand Geneve,8%,51%,41%
2,Brest,7%,52%,41%
3,Sochaux,6%,46%,48%
4,Saint-Etienne,6%,52%,42%
5,Lyon,6%,57%,37%
6,Lorient,6%,57%,38%
7,Troyes,6%,49%,46%
8,SC Bastia,6%,50%,44%
9,Toulouse,6%,45%,49%
10,Rennes,6%,55%,38%
11,AC Ajaccio,6%,43%,52%
12,Marseille,5%,53%,42%
13,Montpellier,5%,49%,47%
14,Nice,5%,51%,44%
15,Nancy,4%,54%,41%
16,Paris Saint-Germain,4%,35%,62%
17,Reims,4%,48%,48%
18,Valenciennes,4%,51%,45%
19,Bordeaux,3%,52%,45%
20,Lille,3%,49%,47%
