R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Paris Saint-Germain,45,6,11,4,3
2,Saint-Etienne,41,6,8,2,3
3,Montpellier,39,5,5,3,2
4,Lille,38,4,12,2,3
5,Nice,35,1,15,6,0
6,Lorient,34,4,14,4,1
7,Toulouse,33,4,9,1,2
8,Lyon,32,3,15,9,2
9,Troyes,30,2,9,2,0
10,Valenciennes,30,3,9,3,4
11,Marseille,29,3,7,1,2
12,Thonon Evian Grand Geneve,29,5,7,3,2
13,SC Bastia,26,4,14,5,1
14,Rennes,23,6,17,2,0
15,Bordeaux,22,4,11,2,1
16,AC Ajaccio,19,3,11,4,2
17,Nancy,17,1,19,1,0
18,Sochaux,16,2,19,2,2
19,Brest,16,2,8,5,1
20,Reims,15,2,10,3,3
