Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Paris Saint-Germain,15.7,6.1,8.2,13,7.10
2. Monaco,14,5,8.4,13.9,7.01
3. Lille,13.1,4.7,7.6,14.3,6.96
4. Saint-Etienne,12.9,4.7,7,12.1,6.95
5. Marseille,13.7,5.1,10.1,13.6,6.91
6. Bordeaux,12,4.4,6.5,13,6.90
7. Lyon,13,4.7,8.8,12.1,6.87
8. Toulouse,11.6,4.3,8.5,14.6,6.84
9. Reims,11.6,3.7,7.1,10.6,6.84
10. Nantes,10.8,3.5,6.5,10.2,6.81
11. Montpellier,11.6,3.9,7.2,14.7,6.81
12. Rennes,10.4,3.8,6.7,12.3,6.81
13. Lorient,11.7,4.1,7.1,11.5,6.75
14. Thonon Evian Grand Geneve,10.7,3.7,5.1,11.2,6.75
15. Guingamp,11.6,3.7,5.6,14.5,6.74
16. Nice,9.7,3,7.2,14.2,6.73
17. Sochaux,11.3,3.8,6.3,12.9,6.70
18. Valenciennes,11.2,3.7,7.3,12.8,6.68
19. SC Bastia,10.5,3.6,5,12.6,6.67
20. AC Ajaccio,8.8,2.8,5.8,14,6.62
