R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Monaco,9%,56%,35%
2,Paris Saint-Germain,8%,61%,31%
3,Marseille,7%,55%,38%
4,SC Bastia,7%,44%,49%
5,Nice,7%,44%,49%
6,Thonon Evian Grand Geneve,7%,47%,47%
7,Reims,7%,48%,45%
8,Montpellier,6%,54%,40%
9,Bordeaux,6%,53%,41%
10,Caen,6%,51%,43%
11,Saint-Etienne,5%,52%,43%
12,Lorient,5%,52%,43%
13,Lyon,5%,50%,45%
14,Rennes,5%,56%,40%
15,Nantes,5%,50%,45%
16,Guingamp,5%,59%,35%
17,Toulouse,4%,57%,39%
18,Lens,4%,56%,39%
19,Metz,3%,44%,53%
20,Lille,3%,48%,49%
