R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Caen,21,1,66,418
2,Guingamp,23,1,64,409
3,Rennes,23,1,58,396
4,Metz,22,1,77,394
5,Thonon Evian Grand Geneve,20,1,72,384
6,Lorient,20,2,72,380
7,Montpellier,21,1,74,378
8,Nantes,20,1,74,375
9,SC Bastia,22,1,66,372
10,Reims,20,1,66,369
11,Lens,22,1,67,367
12,Monaco,19,1,70,347
13,Saint-Etienne,21,1,68,343
14,Toulouse,22,1,77,337
15,Lille,20,1,66,335
16,Nice,20,1,67,332
17,Bordeaux,20,2,66,311
18,Lyon,18,1,64,296
19,Paris Saint-Germain,17,0,56,290
20,Marseille,15,1,59,252
