Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Paris Saint-Germain,14.9,4.4,1.6,8.9,7.27
2. Lyon,14.7,5.7,0.9,8.1,6.96
3. Nice,10.2,4.4,0.7,5.2,6.90
4. Lille,12.6,5.4,0.7,6.4,6.90
5. Bordeaux,11.6,5,0.9,5.6,6.85
6. Monaco,11.2,4,1,6.2,6.85
7. Marseille,12.5,4.7,0.6,7.2,6.84
8. Montpellier,10.4,4.4,0.8,5.2,6.84
9. Rennes,11,4.4,0.7,5.9,6.80
10. Caen,12.4,5.6,0.8,6,6.78
11. Guingamp,10.5,4.2,0.5,5.7,6.77
12. Toulouse,11.3,4.1,0.7,6.5,6.76
13. Nantes,11.3,5.1,0.6,5.7,6.76
14. Lorient,10.9,4.7,0.6,5.6,6.75
15. Saint-Etienne,11.5,5.3,0.7,5.5,6.75
16. Angers,10.4,4.8,0.6,5.1,6.74
17. SC Bastia,8.7,4.3,0.3,4.2,6.72
18. Reims,11.5,4.5,0.8,6.2,6.71
19. GFC Ajaccio,11.6,5.3,0.4,5.8,6.67
20. Troyes,11.8,5.7,0.3,5.8,6.58
