Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Paris Saint-Germain,105,14.8,644,60.4,88.9,11,7.05
2. Lyon,70,17.7,533,58.2,85.9,16.6,6.91
3. Lille,68,13.1,704,51.1,81.1,15.4,6.84
4. Montpellier,53,13.4,594,48.3,78.5,20.3,6.81
5. Saint-Etienne,59,13.1,597,51.5,81.1,16.6,6.78
6. Marseille,60,13.9,828,53.5,82.4,18.9,6.78
7. Nice,30,11.6,715,54.6,86.0,14.3,6.76
8. Nimes,57,13.7,685,46.7,74.4,19.2,6.75
9. Strasbourg,58,10.6,694,49.8,80.5,17.3,6.73
10. Rennes,55,12.4,663,50.7,81.2,17.1,6.73
11. Reims,39,10.7,672,45.1,75.9,17.9,6.72
12. Nantes,48,13.6,706,49.8,76.7,21.2,6.71
13. Angers,44,11.9,494,22.3,79.2,16.8,6.70
14. Bordeaux,34,11.2,755,22.3,80.3,18.1,6.67
15. Toulouse,35,11.4,735,48.7,77.8,19.7,6.62
16. Monaco,38,12.3,897,49.7,80.5,16.8,6.61
17. Caen,29,8.8,756,45.8,76.4,21.1,6.59
18. Dijon,31,12,717,48.3,78.2,19.2,6.59
19. Amiens,31,10.2,566,47.3,75.9,19.5,6.57
20. Guingamp,28,10.9,585,45.4,75.2,21.3,6.55
