R,Team,Left Side,Middle of the pitch,Right Side
1,Guingamp,43%,21%,37%
2,Amiens,42%,23%,35%
3,Reims,42%,21%,37%
4,Dijon,40%,25%,35%
5,Toulouse,39%,26%,35%
6,Caen,39%,22%,39%
7,Rennes,39%,20%,41%
8,Angers,39%,25%,36%
9,Saint-Etienne,38%,22%,40%
10,Lyon,38%,26%,37%
11,Paris Saint-Germain,38%,29%,33%
12,Nantes,38%,25%,37%
13,Nimes,37%,21%,42%
14,Montpellier,37%,23%,40%
15,Strasbourg,36%,22%,42%
16,Monaco,36%,23%,40%
17,Marseille,36%,20%,44%
18,Nice,36%,28%,36%
19,Bordeaux,35%,27%,38%
20,Lille,33%,25%,42%
