R,Team,Left Side,Attempts from the middle,Right Side
1,Reims,24%,54%,22%
2,Saint-Etienne,23%,63%,14%
3,Bordeaux,22%,60%,18%
4,Rennes,21%,62%,17%
5,Brest,21%,63%,16%
6,Nice,21%,63%,16%
7,Metz,20%,60%,21%
8,Dijon,20%,67%,13%
9,Lorient,19%,66%,15%
10,Nimes,19%,63%,18%
11,Paris Saint-Germain,19%,68%,13%
12,Lyon,18%,66%,16%
13,Nantes,18%,66%,15%
14,Angers,18%,63%,19%
15,Montpellier,16%,68%,16%
16,Lille,16%,66%,18%
17,Strasbourg,15%,71%,14%
18,Monaco,14%,72%,14%
19,Lens,14%,67%,19%
20,Marseille,13%,70%,17%
