R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Paris Saint-Germain,18,1,37,614
2,Rennes,20,1,56,532
3,Nice,16,0,48,484
4,Lille,17,1,58,479
5,Monaco,20,1,59,477
6,Lyon,19,1,50,472
7,Marseille,17,0,56,445
8,Bordeaux,16,0,57,418
9,Brest,19,1,65,403
10,Lens,20,0,56,401
11,Angers,17,1,57,398
12,Dijon,15,0,61,373
13,Saint-Etienne,21,0,56,363
14,Reims,14,0,62,355
15,Lorient,16,1,59,353
16,Metz,17,1,60,350
17,Strasbourg,19,0,72,338
18,Nantes,18,1,56,338
19,Nimes,16,0,67,332
20,Montpellier,21,0,67,328
