Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Paris Saint-Germain,10,16,9.8,12.2,1.7,6.88
2. Lille,8.9,17.2,11.2,12.8,1.7,6.82
3. Lyon,11.6,15.4,10.9,12.7,1.7,6.80
4. Monaco,8.6,19.3,11.5,12.8,1.8,6.73
5. Rennes,9.7,15.4,9.5,13.2,0.9,6.69
6. Metz,12.6,18,15,13.6,1.3,6.66
7. Lens,10.8,15.8,13.4,14.2,1.3,6.64
8. Brest,12.8,16,12.3,12.9,1.6,6.64
9. Marseille,11.7,17.2,11.6,13.2,1.4,6.63
10. Montpellier,14.7,13.9,11.1,13.5,1.3,6.63
11. Nice,13.3,15.8,11.4,12.1,1.1,6.63
12. Nantes,12.1,18.3,12.2,13.5,1.4,6.62
13. Strasbourg,10.1,16.7,13.7,13.1,1,6.61
14. Reims,13.5,17.3,12.8,11.6,1.6,6.60
15. Saint-Etienne,10.8,18.8,12.4,13.9,1.3,6.59
16. Bordeaux,12.4,14.9,13.2,12.2,1.3,6.59
17. Lorient,12.2,19,13.9,12.5,1.2,6.54
18. Angers,10.4,16.5,11.7,12.1,1,6.53
19. Nimes,13.7,16.4,13.2,11.1,1.3,6.52
20. Dijon,14.1,15.8,12.4,13.6,1.4,6.42
