R,Team,Left Side,Attempts from the middle,Right Side
1,Paris Saint-Germain,23%,56%,21%
2,Strasbourg,22%,63%,15%
3,Monaco,21%,60%,20%
4,Montpellier,21%,62%,16%
5,Lyon,20%,65%,15%
6,Nice,20%,65%,15%
7,Lorient,19%,67%,15%
8,Nantes,19%,64%,17%
9,Lens,19%,62%,19%
10,Rennes,19%,68%,13%
11,Lille,19%,64%,18%
12,Saint-Etienne,18%,68%,15%
13,Troyes,17%,70%,13%
14,Metz,17%,64%,18%
15,Marseille,16%,62%,22%
16,Reims,16%,68%,16%
17,Angers,16%,66%,19%
18,Clermont Foot,16%,68%,15%
19,Brest,16%,69%,14%
20,Bordeaux,15%,69%,16%
