Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Juventus,9.3,23.4,17.5,12.4,3.2,7.15
2. AC Milan,12.2,21.4,17.4,14.2,3.3,7.06
3. Udinese,14.1,23,15.8,15.3,4.3,7.01
4. Napoli,11.9,22.9,20.4,12.4,2.3,6.98
5. Inter,11.4,23.1,20.1,12.7,2.4,6.97
6. Lazio,12.3,21.7,19.3,16.2,2.2,6.92
7. Parma Calcio 1913,12.4,24.1,20.6,16.2,3,6.91
8. Roma,13.3,19.7,18.7,12.8,2.5,6.91
9. Bologna,13.9,23.3,20.7,16.8,3.8,6.90
10. Fiorentina,12.1,21.8,18.2,15.7,2.7,6.90
11. Cagliari,11.3,22.6,20.5,16.2,2.5,6.90
12. Catania,14,22.1,19.1,15.5,2.1,6.90
13. Chievo,13.2,23.7,21.8,17.2,3.7,6.88
14. Lecce,14.4,21.6,16.9,16.6,2.7,6.86
15. Atalanta,13.5,22.5,17.8,15.7,2.4,6.84
16. Robur Siena,13,23.5,20.9,16.3,3.7,6.84
17. Genoa,16,24.1,20.7,15.4,3.1,6.82
18. Palermo FC,15.7,22.3,18.7,15.6,2.5,6.81
19. Novara,17,20.6,19.2,15.8,3.4,6.79
20. Cesena,15.9,22,21.4,16.4,2.1,6.74
